Anatomy OBO ID	Anatomy Name	Anatomy Synonym	
ZFA:0000094	blood island	caudal hematopoietic tissue
ZFA:0000094	blood island	blood islands
ZFA:0007073	blood sinus cavity	blood sinus lumen
ZFA:0001079	blood vasculature	blood vessel
ZFA:0009036	blood vessel endothelial cell	blood vessel endothelial cells
ZFA:0009222	blue sensitive photoreceptor cell	blue sensitive photoreceptor cells
ZFA:0001514	bone element	bones
ZFA:0001637	bony projection	bony projections
ZFA:0001637	bony projection	process
ZFA:0001684	Bowman's layer	anterior elastic lamina
ZFA:0001684	Bowman's layer	anterior limiting membrane
ZFA:0000008	brain	brain structure
ZFA:0005575	brain nucleus	brain nuclei
ZFA:0000318	brainstem and spinal white matter	brain stem and spinal tract/commissure
ZFA:0000318	brainstem and spinal white matter	brain stem/spinal tracts and commissures
ZFA:0005535	branched anal fin ray	anal fin branched ray
ZFA:0000463	branchial adductor	adductors
ZFA:0001650	branchial mesenchyme	gill mesenchyme
ZFA:0000172	branchial muscle	branchial muscles
ZFA:0005731	branchiomotor neuron	branchi motor neuron
ZFA:0005731	branchiomotor neuron	special visceral motor neuron
ZFA:0000319	branchiostegal membrane	branchiostegal membranes
ZFA:0000476	branchiostegal ray	branchiostegal rays
ZFA:0001279	branchiostegal ray 1	branchiostegal rays 1
ZFA:0001281	branchiostegal ray 2	branchiostegal rays 2
ZFA:0001280	branchiostegal ray 3	branchiostegal rays 3
ZFA:0005562	Bruch's membrane	vitreous lamina
ZFA:0009143	brush border epithelial cell	brush border epithelial cells
ZFA:0000626	bulbo-spinal tract	tractus bulbospinalis
ZFA:0000173	bulbus arteriosus	truncus
ZFA:0000173	bulbus arteriosus	outflow tract
ZFA:0000173	bulbus arteriosus	cardiac outflow tract
ZFA:0005068	bulbus arteriosus inner layer	bulbus arteriosus intima
ZFA:0005067	bulbus arteriosus middle layer	bulbus arteriosus media
ZFA:0005066	bulbus arteriosus outer layer	bulbus arteriosus externa
ZFA:0005218	CaD	caudal dorsal interneuron
ZFA:0009300	Cajal-Retzius cell	Cajal-Retzius cells
ZFA:0009206	calcitonin secreting cell	calcitonin secreting cells
ZFA:0009243	CaP motoneuron	CAP motoneurons
ZFA:0009243	CaP motoneuron	caudal primary motoneuron
ZFA:0005063	cardiac conduction system	cardiac pacemaker
ZFA:0005063	cardiac conduction system	central conduction system
ZFA:0009259	cardiac mesenchymal cell	cardiac mesenchymal cells
ZFA:0009316	cardiac muscle cell	cardiomyocyte
ZFA:0009316	cardiac muscle cell	cardiac myocyte
ZFA:0009316	cardiac muscle cell	cardiac muscle cells
ZFA:0009234	cardiac muscle myoblast	cardioblast
ZFA:0000009	cardiac ventricle	ventricle
ZFA:0001501	cartilage element	cartilages
ZFA:0005155	cartilaginous joint	synchondrosis
ZFA:0000011	caudal artery	CA
ZFA:0000320	caudal commissure	PC
ZFA:0000320	caudal commissure	posterior commissure
ZFA:0001051	caudal division of the internal carotid artery	CaDI
ZFA:0001051	caudal division of the internal carotid artery	posterior cerebral carotid artery
ZFA:0001051	caudal division of the internal carotid artery	posterior rami of the cerebral carotid artery
ZFA:0001058	caudal fin	tail fin
ZFA:0001058	caudal fin	tail
ZFA:0005424	caudal fin actinotrichium	caudal fin actinotrichia
ZFA:0005262	caudal fin dorsal procurrent ray	dorsal procurrent caudal-fin ray
ZFA:0005767	caudal fin fat	tail fin fat
ZFA:0001550	caudal fin lepidotrichium	caudal fin lepidotrichia
ZFA:0001550	caudal fin lepidotrichium	caudal fin ray
ZFA:0001605	caudal fin lower lobe	caudal fin ventral lobe
ZFA:0001585	caudal fin principal ray	caudal principal ray
ZFA:0001585	caudal fin principal ray	caudal principal lepidotrichium
ZFA:0005512	caudal fin principal ray 1	caudal principal ray 1
ZFA:0005512	caudal fin principal ray 1	caudal principal lepidotrichium 1
ZFA:0005521	caudal fin principal ray 10	caudal principal lepidotrichium 10
ZFA:0005521	caudal fin principal ray 10	caudal principal ray 10
ZFA:0005522	caudal fin principal ray 11	caudal principal ray 11
ZFA:0005522	caudal fin principal ray 11	caudal principal lepidotrichium 11
ZFA:0005523	caudal fin principal ray 12	caudal principal ray 12
ZFA:0005523	caudal fin principal ray 12	caudal principal lepidotrichium 12
ZFA:0005595	caudal fin principal ray 13	caudal principal ray 13
ZFA:0005595	caudal fin principal ray 13	caudal principal lepidotrichium 13
ZFA:0005524	caudal fin principal ray 14	caudal principal ray 14
ZFA:0005524	caudal fin principal ray 14	caudal principal lepidotrichium 14
ZFA:0005525	caudal fin principal ray 15	caudal principal lepidotrichium 15
ZFA:0005525	caudal fin principal ray 15	caudal principal ray 15
ZFA:0005526	caudal fin principal ray 16	caudal principal lepidotrichium 16
ZFA:0005526	caudal fin principal ray 16	caudal principal ray 16
ZFA:0005527	caudal fin principal ray 17	caudal principal ray 17
ZFA:0005527	caudal fin principal ray 17	caudal principal lepidotrichium 17
ZFA:0005528	caudal fin principal ray 18	caudal principal lepidotrichium 18
ZFA:0005528	caudal fin principal ray 18	caudal principal ray 18
ZFA:0005529	caudal fin principal ray 19	caudal principal ray 19
ZFA:0005529	caudal fin principal ray 19	caudal principal lepidotrichium 19
ZFA:0005514	caudal fin principal ray 2	caudal principal lepidotrichium 2
ZFA:0005514	caudal fin principal ray 2	caudal principal ray 2
ZFA:0005513	caudal fin principal ray 3	caudal principal lepidotrichium 3
ZFA:0005513	caudal fin principal ray 3	caudal principal ray 3
ZFA:0005515	caudal fin principal ray 4	caudal principal ray 4
